"filename", "language", "Markdown", "JSON", "JavaScript JSX", "Ignore", "JavaScript", "MS SQL", "TypeScript", "JSON with Comments", "TypeScript JSX", "YAML", "CSS", "XML", "HTML", "comment", "blank", "total"
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/customer/OrderTracking.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 224, 0, 0, 0, 0, 11, 27, 262
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/magicui/animated-list.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 11, 73
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/magicui/cool-mode.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 196, 0, 0, 0, 0, 0, 45, 241
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/magicui/magic-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 12, 109
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/magicui/marquee.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 22, 3, 74
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/magicui/number-ticker.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 8, 68
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/magicui/pulsating-button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 4, 47
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/magicui/rainbow-button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 7, 63
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/magicui/ripple-button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 10, 92
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/magicui/shimmer-button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 8, 11, 97
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/magicui/shine-border.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 17, 5, 64
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/ui/accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 8, 57
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/ui/alert-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 126, 0, 0, 0, 0, 0, 14, 140
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/ui/alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 7, 60
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/ui/aspect-ratio.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3, 6
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/ui/avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 6, 49
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/ui/badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 6, 37
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/ui/breadcrumb.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 0, 11, 116
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/ui/button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 8, 10, 111
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/ui/calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 5, 65
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/ui/card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 9, 80
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/ui/carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 231, 0, 0, 0, 0, 0, 30, 261
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/ui/chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 326, 0, 0, 0, 0, 2, 36, 364
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/ui/checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 4, 29
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/ui/collapsible.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5, 10
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/ui/command.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 136, 0, 0, 0, 0, 0, 18, 154
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/ui/context-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 181, 0, 0, 0, 0, 0, 18, 199
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/ui/dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 13, 121
